time,Ex,Ey
0.392,-1.767021914,0.404695554
0.393,-1.760557929,0.415125968
0.394,-1.753690193,0.426510008
0.395,-1.746246232,0.439280107
0.396,-1.737922757,0.454229527
0.397,-1.72812451,0.473018568
0.398,-1.715497063,0.499877408
0.399,-1.696429319,0.549579702
0.4,-1.669616893,0.708949503
0.401,-2.193995609,1.222401928
0.402,-0.630139491,2.270508672
0.403,-2.813595173,1.610105257
0.404,-0.530041191,0.294238387
0.405,1.191880837,-1.500114116
0.406,-2.292512875,-2.639681628
0.407,-2.495809762,-1.570176181
0.408,2.605126866,0.175474046
0.409,-0.796669799,1.99835744
