Time,Ex,Ey
9.099999999999999756e-02,9.960416076616342984e-01,2.188882452069278894e+00
9.199999999999999845e-02,9.959522270892867679e-01,2.189878449038436425e+00
9.299999999999999933e-02,9.958618505647468533e-01,2.190874356128829525e+00
9.400000000000000022e-02,9.957704781783913717e-01,2.191870172344550394e+00
9.500000000000000111e-02,9.956781100215924551e-01,2.192865896689781824e+00
9.600000000000000200e-02,9.955847461867174397e-01,2.193861528168800756e+00
9.700000000000000289e-02,9.954903867671306417e-01,2.194857065785973393e+00
9.800000000000000377e-02,9.953950318571904710e-01,2.195852508545762749e+00
9.900000000000000466e-02,9.952986815522514297e-01,2.196847855452725096e+00
1.000000000000000056e-01,9.952013359486646671e-01,2.197843105511513961e+00
1.010000000000000064e-01,9.951029951437743160e-01,2.198838257726877021e+00
1.020000000000000073e-01,9.950036592359210452e-01,2.199833311103662314e+00
1.030000000000000082e-01,9.949033283244412829e-01,2.200828264646817800e+00
1.040000000000000091e-01,9.948020025096651064e-01,2.201823117361386917e+00
1.049999999999999961e-01,9.946996818929175754e-01,2.202817868252517464e+00
1.059999999999999970e-01,9.945963665765196193e-01,2.203812516325458049e+00
1.069999999999999979e-01,9.944920566637865944e-01,2.204807060585560308e+00
1.079999999999999988e-01,9.943867522590275065e-01,2.205801500038278462e+00
1.089999999999999997e-01,9.942804534675461214e-01,2.206795833689174202e+00
1.100000000000000006e-01,9.941731603956417418e-01,2.207790060543911359e+00
1.110000000000000014e-01,9.940648731506072089e-01,2.208784179608264342e+00
1.120000000000000023e-01,9.939555918407283475e-01,2.209778189888112809e+00
1.130000000000000032e-01,9.938453165752875185e-01,2.210772090389445665e+00
1.140000000000000041e-01,9.937340474645587340e-01,2.211765880118362393e+00
1.150000000000000050e-01,9.936217846198108772e-01,2.212759558081073052e+00
1.160000000000000059e-01,9.935085281533071466e-01,2.213753123283897839e+00
1.170000000000000068e-01,9.933942781783025033e-01,2.214746574733271522e+00
1.180000000000000077e-01,9.932790348090486665e-01,2.215739911435743004e+00
1.190000000000000085e-01,9.931627981607871192e-01,2.216733132397973982e+00
1.199999999999999956e-01,9.930455683497545483e-01,2.217726236626743841e+00
1.209999999999999964e-01,9.929273454931791809e-01,2.218719223128946538e+00
1.219999999999999973e-01,9.928081297092863355e-01,2.219712090911595936e+00
1.229999999999999982e-01,9.926879211172898732e-01,2.220704838981823581e+00
1.239999999999999991e-01,9.925667198373970823e-01,2.221697466346880478e+00
1.250000000000000000e-01,9.924445259908113437e-01,2.222689972014139759e+00
1.260000000000000009e-01,9.923213396997240254e-01,2.223682354991092680e+00
1.270000000000000018e-01,9.921971610873220326e-01,2.224674614285358842e+00
1.280000000000000027e-01,9.920719902777841437e-01,2.225666748904675973e+00
1.290000000000000036e-01,9.919458273962804551e-01,2.226658757856910142e+00
1.300000000000000044e-01,9.918186725689722705e-01,2.227650640150050876e+00
1.310000000000000053e-01,9.916905259230162084e-01,2.228642394792216486e+00
1.320000000000000062e-01,9.915613875865573190e-01,2.229634020791650517e+00
1.330000000000000071e-01,9.914312576887335249e-01,2.230625517156726190e+00
1.340000000000000080e-01,9.913001363596753990e-01,2.231616882895948173e+00
1.350000000000000089e-01,9.911680237305031671e-01,2.232608117017948590e+00
1.360000000000000098e-01,9.910349199333284842e-01,2.233599218531493236e+00
1.370000000000000107e-01,9.909008251012566548e-01,2.234590186445480242e+00
1.380000000000000115e-01,9.907657393683806379e-01,2.235581019768940081e+00
1.390000000000000124e-01,9.906296628697870421e-01,2.236571717511040003e+00
1.400000000000000133e-01,9.904925957415512405e-01,2.237562278681080485e+00
1.410000000000000142e-01,9.903545381207390363e-01,2.238552702288500562e+00
1.420000000000000151e-01,9.902154901454102154e-01,2.239542987342876046e+00
1.430000000000000160e-01,9.900754519546108856e-01,2.240533132853920417e+00
1.440000000000000169e-01,9.899344236883782511e-01,2.241523137831487933e+00
1.449999999999999900e-01,9.897924054877415001e-01,2.242513001285573182e+00
1.459999999999999909e-01,9.896493974947186967e-01,2.243502722226311530e+00
1.469999999999999918e-01,9.895053998523165584e-01,2.244492299663981782e+00
1.479999999999999927e-01,9.893604127045317886e-01,2.245481732609005743e+00
1.489999999999999936e-01,9.892144361963538524e-01,2.246471020071949543e+00
1.499999999999999944e-01,9.890674704737558720e-01,2.247460161063525419e+00
1.509999999999999953e-01,9.889195156837055078e-01,2.248449154594591715e+00
1.519999999999999962e-01,9.887705719741557431e-01,2.249437999676152877e+00
